"RECORD #(BIBLIO)"	"UPDATED(BIBLIO)"	"245"	"246"	"530"	"538"	"590"	"690"	"856"
"b20296629"	"08-01-2012"	"International bibliography of art (IBA) [electronic resource]"	"IBA"	""	"Available via Internet, http://search.proquest.com/iba/advanced?accountid=10222"	"Bibliographic database of international scholarly literature on western art.  Subjects include fine arts in all media, decorative arts, museum studies, archaeology, folk art, material culture, classical studies, antiques, and architectural history.  IBA is the successor to the Bibliography of the History of Art (BHA). Coverage: 2008-current"	"Archaeology"|"Art"|"Classics"	"View online http://0-search.proquest.com.tiger.coloradocollege.edu/iba/advanced?accountid=10222"
"b20312349"	"07-12-2011"	"Alternative press index [electronic resource]"	"Title from OCLC site: Altpressindex"	"Also available in a print edition and on CD-ROM"	"Available via Internet, http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=apn&defaultdb=alr"	"Alternative Press Index is a classic bibliographic database of articles from hundreds of international alternative, radical, and left periodicals. API is now part of EBSCOHOST in two databases:  Alternative Press Archives, 1969-1990; and Alternative Press Index, 1991-current. The link above will search both simultaneously; API is cross-searchable with other EBSCOHOST databases. Coverage: 1969 - current"	"History"|"Race and ethnic studies"|"Feminist and gender studies"	"View online http://0-search.ebscohost.com.tiger.coloradocollege.edu/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=apn&defaultdb=alr"
"b20312350"	"01-24-2011"	"The Chicago manual of style online [electronic resource]"	""	""	"Available via Internet, http://www.chicagomanualofstyle.org/"	"Latest edition of the Chicago Manual of Style in an easy-to-use online format.  Includes manuscript preparation tools, a quick guide to citation and Chicago Style Q&A. Coverage: N/A"	"English language and literature"	"View online http://0-www.chicagomanualofstyle.org.tiger.coloradocollege.edu/"
"b20313317"	"01-24-2011"	"BookBrowse [electronic resource]"	"Title in HTML source code: BookBrowse.com"|"Book browse"|"BookBrowse for libraries"|"Book browse for libraries"	""	"Available via Internet, http://www.bookbrowse.com/refer"	"Find books to read.  This is a readers' advisory website which locates books by genre, audience, theme, time period and geographic area.  Reviews and read-alikes are included with book listings.   BookBrowse links to Tiger, making it easy to find books of interest and determine if theyre in Tutt Library.  Books not owned by Tutt Library may be ordered through Prospector.  Please use the library link for BookBrowse, which grants access to members-only areas and displays the Tiger linking. Coverage: N/A"	"Book reviews"|"English language and literature"	"View online http://0-www.bookbrowse.com.tiger.coloradocollege.edu/refer"
"b20317918"	"11-19-2010"	"Afghanistan and the U.S., 1945-1963 [electronic resource] : records of the U.S. State Department Central Classified Files"	"Afghanistan and the United States, 1945-1963"|"Archives unbound"	""	"Available via Internet, http://infotrac.galegroup.com/itweb/colorado?db=GDSC"	"This collection of U.S. State Department Central Classified Files relating to internal and foreign affairs contains a wide range of materials from U.S. diplomats, including special reports, studies, statistics, legal documents, letters, translations of reports and articles from foreign newspapers and journals, speeches and transcripts.  A wide range of subjects are covered including the politics, economics, and culture of Afghanistan.  Part of Archives Unbound. Coverage: 1945-1963"	"Political science"	"View online http://0-infotrac.galegroup.com.tiger.coloradocollege.edu/itweb/colorado?db=GDSC"
"b2031792x"	"11-19-2010"	"Federal surveillance of African Americans, 1920-1984 [electronic resource]"	"Archives unbound"	""	"Available via Internet, http://infotrac.galegroup.com/itweb/colorado?db=GDSC"	"Collection of documents from the Federal Bureau of Investigation Library.  The collection includes COINTELPROs file on Black Nationalist groups from 1956-1971;  also contains FBI files on notable figures such as Malcom X, Paul Robeson, Jesse Jackson and W. E. Dubois, as well as groups such as the Black Panthers and NAACP.   The investigations are illustrative of conservative and government concerns over communism, socialism, civil rights, and other issues of this era.    Part of Archives Unbound. Coverage: 1920-1984"	"Political science"|"Race and ethnic studies"	"View online http://0-infotrac.galegroup.com.tiger.coloradocollege.edu/itweb/colorado?db=GDSC"
"b20317967"	"11-19-2010"	"Foreign relations between Latin America and the Caribbean States, 1930-1944 [electronic resource]"	"Archives unbound"	""	"Available via Internet, http://infotrac.galegroup.com/itweb/colorado?db=GDSC"	"Organized by country, this collection covers a wide range of viewpoints on political, social, and economic issues. It sheds light on the foreign relations interactions between Central American and South American countries. In the Caribbean, Cuba, Haiti, and the Dominican Republic are represented. This collection includes cables, memoranda, correspondence, reports and analyzes, and treaties.  Documents are from the U.S. State Department.  Part of Archives Unbound. Coverage:  1930-1944"	"Latin America"|"Political science"	"View online http://0-infotrac.galegroup.com.tiger.coloradocollege.edu/itweb/colorado?db=GDSC"
"b20317992"	"11-19-2010"	"Overland journeys [electronic resource] : travels in the West, 1800-1880"	"Travels in the West, 1800-1880"|"Archives unbound"	""	"Available via Internet, http://infotrac.galegroup.com/itweb/colorado?db=GDSC"	"Comprised of selections from the microfilm collections  Travels in the West and Southwest  and the  Plains & Rockies , this digital collection provides a unique window on Western History. Selections are based on the bibliographies,  The Plains and Rockies: A Critical Bibliography of Exploration, Adventure, and Travel in the American West, 1800-1865  and  The Trail West: A Bibliography -Index to Western American Trails, 1841-1869.   Documents include books, articles, and diaries.  Part of Archives Unbound. Coverage:  1800-1880"	"Southwest studies"	"View online http://0-infotrac.galegroup.com.tiger.coloradocollege.edu/itweb/colorado?db=GDSC"
"b20318017"	"11-19-2010"	"The American Indian Movement and Native American radicalism [electronic resource]"	"Archives unbound"	""	"Available via Internet, http://infotrac.galegroup.com/itweb/colorado?db=GDSC"	"Collection of FBI files providing detailed information on the evolution of AIM (American Indian Movement) as an organization of social protest and the development of Native American radicalism.  Part of Archives Unbound. Coverage:  1968-1979"	"North American studies"|"Political science"|"Southwest studies"	"View online http://0-infotrac.galegroup.com.tiger.coloradocollege.edu/itweb/colorado?db=GDSC"
"b2031808x"	"11-10-2010"	"The Clean Air Act Amendments of 1990 [electronic resource] : reduction of acid rain, urban air pollution, and environmental policy"	"Archives unbound"	""	"Available via Internet, http://infotrac.galegroup.com/itweb/colorado?db=GDSC"	"This collection consists of essential documents on the promulgation and implementation of the Clean Air Act Amendments (CAAA) of 1990 and other environmental issues including endangered species and protection of American wetlands.  The 1990 Clean Air Act Amendments were a landmark effort to reduce air pollution through a variety of instruments including the use of a market-based system of trade-able pollution  permits  under its Title IV and Title V.   Part of Archives Unbound.  Note: this collection may not display on the Archives Unbound  home page. Click Browse to see all subscribed collections. Coverage:  1989-1991"	"Environmental sciences"|"Government information"	"View online http://0-infotrac.galegroup.com.tiger.coloradocollege.edu/itweb/colorado?db=GDSC"
"b20318091"	"11-19-2010"	"The savings and loan crisis [electronic resource] : loss of public trust and the federal bailout, 1989-1993"	"Archives unbound"	""	"Available via Internet, http://infotrac.galegroup.com/itweb/colorado?db=GDSC"	"This publication consists of studies, analyses, testimony, talking points and news clippings which detail the origins of the S&L crisis and outlined solutions to the growing crisis in the late 1980s and early 1990s.  Documents are from the George H.W. Bush Presidential Library.   Part of Archives Unbound.  Note: this collection may not display on the Archives Unbound home page. Click Browse to see all subscribed collections. Coverage:  1989-1993"	"Economics and business"	"View online http://0-infotrac.galegroup.com.tiger.coloradocollege.edu/itweb/colorado?db=GDSC"
"b20329672"	"12-10-2010"	"Social and cultural history [electronic resource] : letters and diaries online"	"Letters and diaries online"	""	"Available via Internet, http://lado.alexanderstreet.com/"	"Cross-searchable collection of databases containing letters, diaries, oral histories, memoirs and autobiographies.  The focus is on personal narratives written or published in North America.  Offers advanced browsing and searching of date, place, author/speaker, interviewer, event, subject and more.  Indexes some or all materials of North American Women's Letters and Diaries; British and Irish Women's Letters and Diaries; North American Immigrant Letters, Diaries and Oral Histories; The American Civil War: Letters and Diaries; Black Thought and Culture; Manuscript Women's Letters and Diaries. Coverage: 1558 - 2005"	"History"|"North American studies"|"Southwest studies"	"View online http://0-lado.alexanderstreet.com.tiger.coloradocollege.edu/"
"b20329684"	"07-12-2011"	"North American women's letters and diaries [electronic resource]"	"NAWLD"	""	"Available via Internet, http://solomon.nwld.alexanderstreet.com/"	"150,000+ pages of diaries and letters from over 1,300 women, supplemented with biographies and bibliographies.  Browse and search by detailed factors like author, race, occupation, age at first childbirth, year written, and geographical setting.  Cross-searchable under Social and Cultural History. Coverage: 1675 - 2002"	"Feminist and gender studies"|"History"|"North American studies"	"View online http://0-solomon.nwld.alexanderstreet.com.tiger.coloradocollege.edu/"
"b20329714"	"12-10-2010"	"British and Irish women's letters and diaries, from 1500-1950 [electronic resource]"	"BWLD"	""	"Available via Internet, http://solomon.bwld.alexanderstreet.com/"	"Contains 100,000+ pages of letters and diaries of over 500 women. Organized for detailed browsing and searching.  Cross-searchable under Social and Cultural History. Coverage: 1558 - 1950"	"Feminist and gender studies"|"History"	"View online http://0-solomon.bwld.alexanderstreet.com.tiger.coloradocollege.edu/"
"b20329726"	"12-10-2010"	"Manuscript women's letters and diaries [electronic resource] : from the American Antiquarian Society, 1750-1950"	""	""	"Available via Internet, http://asp6new.alexanderstreet.com/mwld/mwld.index.map.aspx"	"Growing collection of writings of women from the 18th-20th centuries, drawn from the American Antiquarian Society.  Offers advanced browsing and searching, and high-quality scans.  Some materials are cross-searchable under Social and Cultural History. Coverage: 1719 - 1976"	"Feminist and gender studies"|"History"	"View online http://0-asp6new.alexanderstreet.com.tiger.coloradocollege.edu/mwld/mwld.index.map.aspx"
"b20329738"	"12-10-2010"	"Oral history online [electronic resource]"	"Title in HTML header: ORHI"	""	"Available via Internet, http://asp6new.alexanderstreet.com/orhi/"	"Growing index to 2,700+ collections of oral history in English from around the world; 280,000+ pages by over 9,000 individuals and pointers to thousands of audio/video files.  Browse the Table of Contents by repository, interview, date, place, event or subject.  Advanced search allows for detailed searching by factors like names, ages, historical events discussed, and more. Coverage: 1930 - 2008"	"History"	"View online http://0-asp6new.alexanderstreet.com.tiger.coloradocollege.edu/orhi/"
"b2032974x"	"12-10-2010"	"North American theatre online [electronic resource]"	"North American theater online"|"Also known as: NATO"	""	"Available via Internet, http://asp6new.alexanderstreet.com/atho/"	"Cross-searchable version of Street Drama covering Black Drama, Twentieth Century North American Drama, Asian American Drama, North American Women's Drama, Latino Drama, North American Indian Drama.  Organized for detailed browsing and searching by play, people, production, theatre, awards, companies and more. Coverage: 1321 - current"	"Drama and Dance"|"English language and literature"	"View online http://0-asp6new.alexanderstreet.com.tiger.coloradocollege.edu/atho/"
"b20329751"	"12-10-2010"	"Twentieth century North American drama [electronic resource]"	"20th century North American drama"|"Title in HTML header: North American drama"	""	"Available via Internet, http://solomon.nadr.alexanderstreet.com/"	"1,500+ plays (some never before published) by 200 playwrights, together with detailed, indexed information on related productions, theaters, production companies, and more. The database also includes selected playbills, production photographs and other ephemera related to the plays. Cross-searchable under North American Theater Online. Coverage: 1835 -  current"	"Drama and Dance"|"English language and literature"|"North American studies"	"View online http://0-solomon.nadr.alexanderstreet.com.tiger.coloradocollege.edu/"
"b20329763"	"09-15-2011"	"Black drama, 1850 to present [electronic resource]"	"Black drama, second edition"	""	"Available via Internet, http://bld2.alexanderstreet.com/"	"Contains the full text of over 1,400 rare and hard-to-find plays written from the 1850's to the present by playwrights from North America, English-speaking Africa, the Caribbean, and other African Diaspora countries. Search by author, title, subject, date, full-text, etc.  Cross-searchable under North American Theater Online. Coverage: 1846 - current"	"Drama and Dance"|"English language and literature"|"Race and Ethnic studies"	"View online http://0-bld2.alexanderstreet.com.tiger.coloradocollege.edu/"
"b20329775"	"12-10-2010"	"North American women's drama [electronic resource]"	""	""	"Available via Internet, http://solomon.wodr.alexanderstreet.com/"	"1500+ plays (some never before published) by 300+ playwrights together with detailed, indexed information on related productions, theaters, production companies, and more. Also includes selected playbills, production photographs and other ephemera.  Cross-searchable under North American Theater Online. Coverage: 1714 - current"	"Drama and Dance"|"English language and literature"|"Feminist and Gender studies"	"View online http://0-solomon.wodr.alexanderstreet.com.tiger.coloradocollege.edu/"
"b20329787"	"12-10-2010"	"North American Indian drama [electronic resource]"	"INDR"	""	"Available via Internet, http://solomon.indr.alexanderstreet.com/"	"170+ plays by 30+ playwrights together with detailed, indexed information on related productions, theaters, production companies, and more.  Also includes bibliographies and the Native Playwrights' Newsletter.  Cross-searchable under North American Theater Online. Coverage: 1926 - current"	"Drama and Dance"|"English language and literature"|"North American studies"	"View online http://0-solomon.indr.alexanderstreet.com.tiger.coloradocollege.edu/"
"b20329799"	"02-08-2011"	"Latino literature [electronic resource] : poetry, drama and fiction"	"LALI"	""	"Available via Internet, http://lit.alexanderstreet.com/lali"	"100,000+ pages of poetry, fiction, and over 450 plays written in English and Spanish by hundreds of Chicano, Cuban, Puerto Rican, Dominican, and other Latino authors working in the United States.  Some works have never been published before.  Also includes 130,000+ pages of Chicago folk tales and audio files of selected poems and plays.  Some materials are cross-searchable under North American Theater Online. Coverage: 1872 - current"	"Drama and Dance"|"English language and literature"|"Latin America"|"North American studies"|"Race and Ethnic studies"	"View online http://0-lit.alexanderstreet.com.tiger.coloradocollege.edu/lali"
"b20336287"	"05-11-2011"	"Films on demand [electronic resource]"	"Films Media Group on demand <Oct. 5, 2007>"|"HTML title: FMG on demand, educational media <Oct. 5, 2007>"	""	"Available via Internet, http://digital.films.com/portalplaylists.aspx?aid=10720"|"System requirements: High-speed Internet access is required with a minimum of 380 kbps DSL, 500 kbps cable modem connectivity"	"Films on Demand subscription to the following categories:  Humanities & Social Sciences, Business & Economics, Science & Mathematics, and Health & Medicine.  Hundreds of documentaries and educational films viewable as a whole or by segment.   Register for an account to build playlists and set preferences.  If you have trouble viewing from off campus, please contact the Reference Desk at x6662.  Coverage: pre-1990 to current"	"Feminist and gender studies"|"Film"|"History"|"North American studies"	"View online http://0-digital.films.com.tiger.coloradocollege.edu/portalplaylists.aspx?aid=10720"
"b20346219"	"01-19-2011"	"Hispanic American newspapers, 1808-1980 [electronic resource]"	""	""	"Available via Internet, http://infoweb.newsbank.com/"	"Spanish and bilingual Spanish/English newspapers published in the United States from the 19th to 20th centuries.  Great source of historical information and culture; also a source of reporting on events in Spanish-speaking countries that were not necessarily covered in English-language newspapers.  Part of  America's Historical Newspapers.  Coverage: 1808-1980"	"History"|"Latin America"|"Race and Ethnic Studies"	"View online http://0-infoweb.newsbank.com.tiger.coloradocollege.edu/"
"b20347753"	"01-31-2011"	"Classical music library [electronic resource]"	"At head of title: Music online"|"On Terms of agreement page <2004>: Classical music online"	""	"System requirements: Audio- and Javascript-enabled PC or Mac with Internet connection, browser, and Windows Media Player (PC using Internet Explorer only) or Macromedia Flash Player (PC using Netscape, or Mac)"|"Available via Internet, http://clmu.alexanderstreet.com/"|"Access to service is through an institution-specific URL"	"Growing collection of over 60,000+ tracks, with multiple versions of many major works.  Functionality includes playlists and mobile listening.  Part of Music Online. Coverage:  Recordings from 1910-current"	"Music"	"View online http://0-clmu.alexanderstreet.com.tiger.coloradocollege.edu/"
"b20347790"	"10-20-2011"	"The Garland encyclopedia of world music online [electronic resource] / [Advisory editors, Bruno Nettl and Ruth Stone ; founding editors, James Porter and Timothy Rice]"	"Title appears as: Welcome to the Garland encyclopedia of world music online"|"At head of title: Music online"	""	"Available via Internet, http://glnd.alexanderstreet.com/"	"Online version of the 10-volume encyclopedia, with detailed indexing and searching, and accompanied by images and audio samples. Coverage: N/A"	"Music"	"View online http://0-glnd.alexanderstreet.com.tiger.coloradocollege.edu/"
"b20347832"	"10-20-2011"	"Women and social movements in the United States 1600-2000 : Scholar's edition [electronic resource] / Kathryn Sklar and Thomas Dublin, editors"	"WASM"	""	"Available via Internet, http://wass.alexanderstreet.com/"	"Growing collection of documents related to women and social movements in U.S. history.  Includes primary source documents, images, dictionary of movements, biographical dictionary, chronology, reviews, notes, and teaching tools.  Organized for in-depth browsing and searching. Coverage: 1600 - 2000"	"Feminist and gender studies"|"History"|"North American studies"	"View online http://0-wass.alexanderstreet.com.tiger.coloradocollege.edu/"
"b20361683"	"06-04-2012"	"Political Science Complete [electronic resource]"	"PSC"	""	"Available via Internet, http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=poh"	"Political science database with a global scope.  Contains full text for some journals, reference books, monographs and conference papers, in addition to abstracts and indexes for many journals. Coverage: 1887-current"	"Political science"	"View online http://0-search.ebscohost.com.tiger.coloradocollege.edu/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=poh"
"b20361695"	"02-08-2012"	"Asia-studies full-text online [electronic resource]"	"Asia-studies"|"Welcome to Asia-studies full-text online"	""	"Available via Internet, http://www.asia-studies.com/"|"System requirements: PC with Microsoft Internet Explorer and Adobe Acrobat Reader (most records are in PDF format)"	"Full-text reports from research institutions covering 50+ countries in the Asian-Pacific region.  Topics include business, government, economics, social issues, and the humanities. Coverage: N/A"	"Asian studies"	"View online http://0-www.asia-studies.com.tiger.coloradocollege.edu/"
"b20563383"	"07-12-2011"	"MLA literary research guide [electronic resource] : an annotated listing of reference sources in English literary studies / James L. Harner"	"Literary research guide"	""	"Available via Internet, http://www.mlalrg.org"	"Selective, annotated guide to important reference sources for the study of British literature, literatures of the United States, other literatures in English, and related topics. Coverage: N/A"	"Comparative literature"|"English language and literature"	"View online http://0-www.mlalrg.org.tiger.coloradocollege.edu/"
"b20580927"	"07-12-2011"	"Oxford bibliographies online. Buddhism [electronic resource] / editor in chief: Richard Payne"	"Buddhism"|"OBO Buddhism"	""	"Available via Internet, http://oxfordbibliographiesonline.com/browse?module_0=obo-9780195393521"	"Annotated guide to the core literature in Buddhism research, with topic overviews by experts in the field. Coverage: N/A"	"Asian studies"|"Religion"	"View online http://0-oxfordbibliographiesonline.com.tiger.coloradocollege.edu/browse?module_0=obo-9780195393521"
"b20580939"	"07-12-2011"	"Oxford bibliographies online. Hinduism [electronic resource] / editor in chief: Alf Hiltebeitel"	"Hinduism"|"OBO Hinduism"	""	"Available via Internet, http://oxfordbibliographiesonline.com/browse?module_0=obo-9780195399318"	"Annotated guide to the core literature in Hinduism research, with topic overviews by experts in the field. Coverage: N/A"	"Asian studies"|"Religion"	"View online http://0-oxfordbibliographiesonline.com.tiger.coloradocollege.edu/browse?module_0=obo-9780195399318"
"b20582638"	"07-19-2011"	"Library, information science & technology abstracts with full text [electronic resource]"	"LISTA"	""	"Available via Internet, http://search.ebscohost.com/login.asp?profile=web&defaultdb=lih"	"Indexing and full text for over 500 journals, plus books, research reports and proceedings.  Subject coverage includes librarianship, classification, cataloging, bibliometrics, online information retrieval, and information management. Coverage: 1960's - current"	""	"View online http://0-search.ebscohost.com.tiger.coloradocollege.edu/login.asp?profile=web&defaultdb=lih"
"b20758194"	"01-18-2012"	"RILM abstracts of music literature [electronic resource]"	"Répertoire International de Littérature Musicale abstracts of music literature"	""	"Available via Internet, http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=rih"	"Description: This database abstracts and indexes publications on music, in all media: books, journals, online resources, research-based sound recordings and films, dissertations, and more. Publications range from 150+ countries and many languages; title translations into English and abstracts in English are included. Coverage: 1967 - current"	"Music"	"View online http://0-search.ebscohost.com.tiger.coloradocollege.edu/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=rih"
"b20758200"	"01-18-2012"	"Jewish studies source [electronic resource]"	""	""	"Available via Internet, http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=jss"	"Description: Periodicals, monographs and biographies contributing to the multidisciplinary view of Jewish civilization, covering all facets of Judaism.  Also contains the complete full text of the Jewish Telegraphic Agency. Coverage: 1922 - current"	"History"|"Race and Ethnic studies"|"Religion"	"View online http://0-search.ebscohost.com.tiger.coloradocollege.edu/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=jss"
"b20770595"	"03-15-2012"	"Africa Knowledge Project [electronic resource]"	"At head of title screen: AfricaResource knowledge project"|"Africa Resource Knowledge Project"|"AKP"	""	"Available via Internet, http://www.africaknowledgeproject.org/"	"Journals and databases from the Africa Resource Center focusing on Africa and the African Diaspora. Content includes JENdA: A Journal of Culture and African Women Studies, Journal on African Philosophy, and the African Music Database. Coverage: N/A"	"Africa"|"Comparative literature"|"Feminist and gender studies"|"Film"|"Race and Ethnic studies"	"View online http://0-www.africaknowledgeproject.org.tiger.coloradocollege.edu"
"b20822212"	"03-02-2012"	"Oxford bibliographies online. Islamic studies [electronic resource] / editor in chief: Tamara Sonn"	"Islamic studies"|"OBO Islamic studies"	""	"Available via Internet, http://oxfordbibliographiesonline.com/"	"Annotated, interdisciplinary bibliography covering Islamic religion, textual traditions, history, philosophy, anthropology, language, and literature. Coverage: N/A"	"History"|"Religion"	"View online http://0-oxfordbibliographiesonline.com.tiger.coloradocollege.edu/"
"b20822315"	"06-18-2012"	"AP stylebook online [electronic resource]"	"Associated Press stylebook online"|"AP stylebook"	"Also available in print"	"Available via Internet, http://www.apstylebook.com"	"The Associated Press Stylebook, also known as the journalist's Bible, now online. Search or browse by chapter for everything from spelling and punctuation to media law and journalistic guidelines. Also includes a pronunciation guide. Coverage: N/A"	"Communication"	"View online http://0-www.apstylebook.com.tiger.coloradocollege.edu/coloradocollege_edu/"
"b20827234"	"01-08-2013"	"Index to printed music [electronic resource]"	"Commonly known as: IPM"|"Title from quick search screen: BiblioLine. Index to printed music, collections & series <June 17, 2004>"|"Title from title bar: BiblioLine basic. Index to printed music: collections & series (IPM) <Apr. 14, 2008>"	""	"Available via Internet, http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=ipm"	"Index to 425,000 +individual pieces of music from thousands of scholarly collections, with coverage of music from eras from ancient Greece to present. Many records include instrumentation and score format. Coverage: music printed 1720 - current"	"Music"	"View online http://0-search.ebscohost.com.tiger.coloradocollege.edu/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=ipm"
"b21011266"	"08-16-2012"	"Legal information reference center [electronic resource]"	""	""	"Available via Internet, http://0-search.ebscohost.com.tiger.coloradocollege.edu/login.aspx?authtype=ip,uid&custid=s5349193&profile=ehost&defaultdb=lir"	"Contains hundreds of full-text publications and thousands of legal forms. The full-text legal reference books are provided through Nolo, the nation's oldest and most-respected provider of legal information for consumers and small businesses"	"Law"	"View online http://0-search.ebscohost.com.tiger.coloradocollege.edu/login.aspx?authtype=ip,uid&custid=s5349193&profile=ehost&defaultdb=lir"
"b21012799"	"09-28-2012"	"NoveList [electronic resource] : your guide to fiction"	"NoveList"|"Novel list"	""	"Available via Internet, http://search.ebscohost.com/login.aspx?authtype=ip,uid&custid=s5349193&profile=novelist"	"Readers' advisory service providing access to information on 155,000 fiction titles. Includes author read-alikes, book discussion guides, reading lists and more. Offers training and support for library staff engaged with helping readers find new books to read."	"English language and literature"	"View online http://0-search.ebscohost.com.tiger.coloradocollege.edu/login.aspx?authtype=ip,uid&custid=s5349193&profile=novelist"
"b21012805"	"08-22-2012"	"Points of view reference center [electronic resource]"	""	""	"Available via Internet, http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=pov"	"Provides a series of essays that present multiple sides of a current issue. The database provides more than 290 topics, each with an overview (objective background/description), point (argument), counterpoint (opposing argument), and Critical Thinking Guide. The database also offers guides to debate, developing arguments and writing position papers"	"Education: Curricular"	"View online http://0-search.ebscohost.com.tiger.coloradocollege.edu/login.aspx?authtype=ip,uid&profile=pov"
"b21012829"	"08-22-2012"	"Psychology and behavioral sciences collection [electronic resource]"	"Psychology & behavioral sciences collection"	""	"Available via Internet, http://search.ebscohost.com/login.aspx?authtype=ip,uid&custid=s5349193&profile=ehost&defaultdb=pbh"	"Covers information concerning topics in emotional and behavioral characteristics, psychiatry & psychology, mental processes, anthropology, and observational & experimental methods. Psychology & Behavioral Sciences Collection can be searched independently, but also allows users to link to full text from citations within PsycINFO"	"Psychology"	"View online http://0-search.ebscohost.com.tiger.coloradocollege.edu/login.aspx?authtype=ip,uid&custid=s5349193&profile=ehost&defaultdb=pbh"
"b21012842"	"08-22-2012"	"Searchasaurus [electronic resource]"	""	""	"Available via Internet, http://search.ebscohost.com/login.aspx?authtype=ip,uid&custid=s5349193&profile=sas"	"Database designed for young children learning how to research online. Searchasaurus offers Lexile limiters (reading level), making it easy for students to read and research only appropriately challenging materials"	"Education: Curricular"	"View online http://0-search.ebscohost.com.tiger.coloradocollege.edu/login.aspx?authtype=ip,uid&custid=s5349193&profile=sas"
"b21012878"	"08-22-2012"	"Small engine repair reference center [electronic resource]"	""	""	"Available via Internet, http://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=serrc"	"Small Engine Repair Reference Center provides users with detailed, user-friendly repair guides for all manner of small engines. Over 440 full-text reference books with original photos and illustrations that guide the user through every job"	""	"View online http://0-search.ebscohost.com.tiger.coloradocollege.edu/login.aspx?authtype=ip,uid&profile=serrc"
"b2101288x"	"08-22-2012"	"TOPICsearch [electronic resource]"	"TOPIC search"	""	"Available via Internet, http://search.ebscohost.com/login.aspx?authtype=ip,uid&custid=s5349193&profile=ehost&defaultdb=tth"	"Current events database allows researchers to explore social, political & economic issues, scientific discoveries and other popular topics discussed in today's classrooms including controversial opinions and viewpoints"	"Education: Curricular"	"View online http://0-search.ebscohost.com.tiger.coloradocollege.edu/login.aspx?authtype=ip,uid&custid=s5349193&profile=ehost&defaultdb=tth"
